source,year,ceremony,category,nominee (person),title,winner
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Alana Haim,Licorice Pizza,FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cooper Hoffman,Licorice Pizza,FALSE
golden globes,2021,79,Best Screenplay - Motion Picture,Paul Thomas Anderson,Licorice Pizza,FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Drama,Olivia Colman,"Lost Daughter, The",FALSE
golden globes,2021,79,Best Director - Motion Picture,Maggie Gyllenhaal,"Lost Daughter, The",FALSE
golden globes,2021,79,Best Motion Picture - Drama,,"Power of the Dog, The",TRUE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Drama,Benedict Cumberbatch,"Power of the Dog, The",FALSE
golden globes,2021,79,Best Director - Motion Picture,Jane Campion,"Power of the Dog, The",TRUE
golden globes,2021,79,Best Screenplay - Motion Picture,Jane Campion,"Power of the Dog, The",FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Drama,Kristen Stewart,Spencer,FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Drama,Mahershala Ali,Swan Song,FALSE
golden globes,2021,79,Best Motion Picture - Musical or Comedy,,"tick, tick...BOOM!",FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Andrew Garfield,"tick, tick...BOOM!",TRUE
